"uid","plotID","subplotID","taxonID","identificationQualifier","measuredBy","recordedBy","remarks"
2,"HARV_027","31","QURU",,"D01CEG10","D01GMV31",
3,"HARV_027","31","QUAL",,"D01CEG10","D01GMV31",
4,"HARV_027","31","CACR6","cf. species","D01CEG10","D01GMV31",
5,"HARV_027","31","BELE",,"D01CEG10","D01GMV31",
6,"HARV_027","31","UVSE",,"D01CEG10","D01GMV31","QC: NO ERROR"
7,"HARV_027","31","TSCA",,"D01CEG10","D01GMV31",
8,"HARV_027","31","OSCL2",,"D01CEG10","D01GMV31",
9,"HARV_027","31","LYQU2",,"D01CEG10","D01GMV31",
10,"HARV_027","31","VAPA4",,"D01CEG10","D01GMV31",
11,"HARV_027","31","AMELA",,"D01CEG10","D01GMV31",
12,"HARV_027","31",,,"D01CEG10","D01GMV31","fusiform sedge; see pictures on iphone 8 0478 and 0479"
13,"HARV_027","31","DEPU2",,"D01CEG10","D01GMV31",
14,"HARV_027","32","PRSE2",,"D01CEG10","D01GMV31",
15,"HARV_027","32","BELE",,"D01CEG10","D01GMV31",
16,"HARV_027","32","PAQU2",,"D01CEG10","D01GMV31","QC: NO ERROR JH"
17,"HARV_027","32","THPU2",,"D01CEG10","D01GMV31",
18,"HARV_027","32","TSCA",,"D01CEG10","D01GMV31",
19,"HARV_027","32","GAAS2",,"D01CEG10","D01GMV31",
20,"HARV_027","32","SMHE",,"D01CEG10","D01GMV31",
21,"HARV_027","32","IMCA",,"D01CEG10","D01GMV31",
22,"HARV_027","32","QURU",,"D01CEG10","D01GMV31",
23,"HARV_027","40","ONSE",,"D01LELE27","D01DRC25",
24,"HARV_027","40","IMCA",,"D01LELE27","D01DRC25",
25,"HARV_027","40","FRAM2",,"D01LELE27","D01DRC25",
26,"HARV_027","40","VEVI",,"D01LELE27","D01DRC25",
27,"HARV_027","40","GAAP2",,"D01LELE27","D01DRC25",
28,"HARV_027","40","BETH",,"D01LELE27","D01DRC25","QC: NO ERROR JH"
29,"HARV_027","40","RUID",,"D01LELE27","D01DRC25",
30,"HARV_027","40","CEOR7",,"D01LELE27","D01DRC25",
31,"HARV_027","40","ROPA",,"D01LELE27","D01DRC25","""SHINY ROSE"""
32,"HARV_027","40","TSCA",,"D01LELE27","D01DRC25",
33,"HARV_027","40","TRBO2",,"D01LELE27","D01DRC25",
34,"HARV_027","40","ACSA3",,"D01LELE27","D01DRC25",
35,"HARV_027","40","VAPA4",,"D01LELE27","D01DRC25",
36,"HARV_027","40","PRSE2",,"D01LELE27","D01DRC25",
37,"HARV_027","40","VACO",,"D01LELE27","D01DRC25",
38,"HARV_027","40","ROMU",,"D01LELE27","D01DRC25",
39,"HARV_027","40","ATFIA","cf. species","D01LELE27","D01DRC25",
40,"HARV_027","40","BELE",,"D01LELE27","D01DRC25","QC: NO ERROR JH"
41,"HARV_027","40",,"cf. subspecies","D01LELE27","D01DRC25","""TINY HUMMOCK CAREX"""
42,"HARV_027","40",,"cf. genus","D01LELE27","D01DRC25","""CAREX; FINE PURPLE CORRIE"""
43,"HARV_027","40","CALE11",,"D01LELE27","D01DRC25",
44,"HARV_027","40","QURU",,"D01LELE27","D01DRC25",
45,"HARV_027","40","CAOV2",,"D01LELE27","D01DRC25",
46,"HARV_027","40","ULAM",,"D01LEL27","D01DRC25",
47,"HARV_027","41","ONSE",,"D01LEL27","D01GMV31",
48,"HARV_027","41","GAAS2",,"D01LEL27","D01GMV31",
49,"HARV_027","41","VAPA4",,"D01LEL27","D01GMV31",
50,"HARV_027","41","BELE",,"D01LEL27","D01GMV31","QC: NO ERROR JH"
51,"HARV_027","41","BETH",,"D01LEL27","D01GMV31",
52,"HARV_027","41","QUAL",,"D01LEL27","D01GMV31",
53,"HARV_027","41","AMELA",,"D01LEL27","D01GMV31",
54,"HARV_027","41","PRSE2",,"D01LEL27","D01GMV31",
55,"HARV_027","41","SPALL",,"D01LEL27","D01GMV31",
56,"HARV_027","41","UVSE",,"D01LEL27","D01GMV31",
57,"HARV_006","31","TRBO2",,"D01DRC25","D01SJH02","QC: No error EME"
58,"HARV_006","31","VAAN",,"D01DRC25","D01SJH02",
59,"HARV_006","32","HAVI4",,"D01DRC25","D01EJH18",
60,"HARV_006","32","TRBO2",,"D01DRC25","D01EJH18",
61,"HARV_006","41","VAPA4",,"D01LEL27","D01PJN02",
62,"HARV_006","41","VAAN",,"D01LEL27","D01PJN02","QC: No error EME"
63,"HARV_013","40","BRER2",,"D01LEL27","D01PJN02","QC: No Error"
64,"HARV_013","40","BETH",,"D01LEL27","D01PJN02",
65,"HARV_013","40","MEVI",,"D01LEL27","D01PJN02",
66,"HARV_013","40","ILVE",,"D01LEL27","D01PJN02",
67,"HARV_013","40","VACO",,"D01LEL27","D01PJN02",
68,"HARV_013","41",,,"D01LEL27","D01PJN02","FUSIFORM SEDGE"
69,"HARV_013","41","GABA",,"D01LEL27","D01PJN02",
70,"HARV_013","41","RUOC",,"D01LEL27","D01PJN02",
71,"HARV_013","41","BETH",,"D01LEL27","D01PJN02",
72,"HARV_013","41","POSI2",,"D01LEL27","D01PJN02",
73,"HARV_013","41","QUVE",,"D01LEL27","D01PJN02","QC: No Error"
74,"HARV_013","41","VACO",,"D01LEL27","D01PJN02",
75,"HARV_013","41","LYQU2",,"D01LEL27","D01PJN02",
76,"HARV_013","41","GATR3",,"D01LEL27","D01PJN02",
77,"HARV_013","32","QURU",,"D01DRC25","D01EJH18",
78,"HARV_013","32","PAQU2",,"D01DRC25","D01EJH18",
79,"HARV_013","32","FRAM2",,"D01DRC25","D01EJH18",
80,"HARV_013","32","GATR3","cf. species","D01DRC25","D01EJH18",
81,"HARV_013","32","DRIN5",,"D01DRC25","D01EJH18",
82,"HARV_013","32","BETH",,"D01DRC25","D01EJH18",
83,"HARV_013","32","CEOR7",,"D01DRC25","D01EJH18","QC: No Error"
84,"HARV_013","32","BODI2",,"D01DRC25","D01EJH18",
85,"HARV_013","32","CAREX",,"D01DRC25","D01EJH18",
86,"HARV_013","31","CAGL8",,"D01DRC25","D01EJH18",
87,"HARV_013","31","CAREX",,"D01DRC25","D01EJH18",
88,"HARV_013","31","FRAL4",,"D01DRC25","D01EJH18",
89,"HARV_013","31","BETH",,"D01DRC25","D01EJH18","QC: No Error"
