"uid","plotID","subplotID","taxonID","identificationQualifier","measuredBy","recordedBy","remarks"
2,"ONAQ_019","31","SEMI-SUCCULENT MINT HAIR FORB","UNK","D15RAS17","D15WDS27",
3,"ONAQ_019","31","OPUNT",,"D15RAS17","D15WDS27",
4,"ONAQ_019","31","JUOS",,"D15RAS17","D15WDS27",
5,"ONAQ_019","31","DESCU","cf. genus","D15RAS17","D15WDS27",
6,"ONAQ_019","32","GUTIE",,"D15WDS27","D15RAS17",
7,"ONAQ_019","32","ALDE",,"D15WDS27","D15RAS17",
8,"ONAQ_019","32","EROV",,"D15WDS27","D15RAS17",
9,"ONAQ_019","40","ACHY",,"D15RAS17","D15WDS27",
10,"ONAQ_019","40","PHHO",,"D15RAS17","D15WDS27",
11,"ONAQ_019","40","GUTIE",,"D15RAS17","D15WDS27",
12,"ONAQ_019","40","OPUNT",,"D15RAS17","D15WDS27",
13,"ONAQ_019","40","Oblanceolate Spine Leaf","UNK","D15RAS17","D15WDS27",
14,"ONAQ_019","40","ALDE",,"D15RAS17","D15WDS27",
15,"ONAQ_019","41","BRTE",,"D15WDS27","D15RAS17",
16,"ONAQ_019","41","PHHO",,"D15WDS27","D15RAS17",
17,"ONAQ_007","31","LIPU11",,"D15RAS17","D15WDS27",
18,"ONAQ_007","31","OPUNT",,"D15RAS17","D15WDS27",
19,"ONAQ_007","31","JUOS",,"D15RAS17","D15WDS27",
20,"ONAQ_007","31","IPCO5",,"D15RAS17","D15WDS27",
21,"ONAQ_007","31","FUZZY LANCEOLATE DAISY","UNK","D15RAS17","D15WDS27",
22,"ONAQ_007","32","OPUNT",,"D15RAS17","D15WDS27",
23,"ONAQ_007","32","IPCO5",,"D15WDS27","D15RAS17",
24,"ONAQ_007","32","TRDU",,"D15RAS17","D15WDS27",
25,"ONAQ_007","32","JUOS",,"D15RAS17","D15WDS27",
26,"ONAQ_007","32","DESCU","cf. genus","D15RAS17","D15WDS27",
27,"ONAQ_007","32","CANU3",,"D15RAS17","D15WDS27",
28,"ONAQ_007","40","ACHY",,"D15RAS17","D15WDS27",
29,"ONAQ_007","40","TRDU",,"D15RAS17","D15WDS27",
30,"ONAQ_007","40","OPUNT",,"D15RAS17","D15WDS27",
31,"ONAQ_007","40","CASTI2","cf. genus","D15RAS17","D15WDS27",
32,"ONAQ_007","40","ELEL5",,"D15WDS27","D15RAS17",
33,"ONAQ_007","41","AGGL","cf. species","D15RAS17","D15WDS27",
34,"ONAQ_007","41","LIPU11",,"D15RAS17","D15WDS27",
35,"ONAQ_007","41","CAAN7",,"D15RAS17","D15WDS27",
36,"ONAQ_007","41","FUZZY LANCEOLATE DAISY","UNK","D15RAS17","D15WDS27",
37,"ONAQ_007","41","TRDU",,"D15RAS17","D15WDS27",
38,"ONAQ_007","41","CAAND",,"D15RAS17","D15WDS27",
