"uid","plotID","subplotID","nestedSubplotID","nestedSubplotArea","variablesOther","percentCoverOther","cameraID","photoID","taxonID","identificationQualifier","percentCoverPlantSpecies","meanHeightPlantSpecies","measuredBy","recordedBy","remarks"
1,"HARV_027",31,4,1,,,"IPHONE 8","1259",,,,,"D01CEG10","D01GMV31",
2,"HARV_027",31,4,1,"Rock",1.00,,,,,,,"D01CEG10","D01GMV31",
3,"HARV_027",31,4,1,"Wood",1.00,,,,,,,"D01CEG10","D01GMV31",
4,"HARV_027",31,4,1,"Litter",80.00,,,,,,,"D01CEG10","D01GMV31",
5,"HARV_027",31,4,1,"Moss",18.00,,,,,,,"D01CEG10","D01GMV31",
6,"HARV_027",31,4,1,"Overstory",100.00,,,,,,,"D01CEG10","D01GMV31",
7,"HARV_027",31,4,1,,,,,"FRAM2",,2.00,14,"D01CEG10","D01GMV31","QC: NO ERROR JH"
8,"HARV_027",31,4,1,,,,,"PIST",,0.50,9,"D01CEG10","D01GMV31",
9,"HARV_027",31,4,1,,,,,"TSCA",,1.00,12,"D01CEG10","D01GMV31",
10,"HARV_027",31,4,1,,,,,"TRBO2",,1.00,5,"D01CEG10","D01GMV31",
11,"HARV_027",31,4,1,,,,,"PAQU2",,1.00,9,"D01CEG10","D01GMV31",
12,"HARV_027",31,4,1,,,,,"ACRU",,0.50,7,"D01CEG10","D01GMV31",
13,"HARV_027",31,4,1,,,,,"CAREX",,0.50,18,"D01CEG10","D01GMV31",
14,"HARV_027",31,4,1,,,,,"MIRE",,0.50,3,"D01CEG10","D01GMV31",
15,"HARV_027",31,4,1,,,,,"MACA4",,2.00,6,"D01CEG10","D01GMV31","QC: NO ERROR JH"
16,"HARV_027",31,4,1,,,,,"RUHI",,4.00,14,"D01CEG10","D01GMV31",
17,"HARV_027",31,4,1,,,,,"SOLIDAGO","cf. genus",0.50,11,"D01CEG10","D01GMV31",
18,"HARV_027",31,4,1,,,,,"PRSE2",,0.50,23,"D01CEG10","D01GMV31",
19,"HARV_027",31,4,1,,,,,"ARTR",,0.50,11,"D01CEG10","D01GMV31",
20,"HARV_027",31,1,1,"Soil",0.50,,,,,,,"D01CEG10","D01GMV31",
21,"HARV_027",31,1,1,"Wood",4.00,,,,,,,"D01CEG10","D01GMV31",
22,"HARV_027",31,1,1,"Litter",92.00,,,,,,,"D01CEG10","D01GMV31",
23,"HARV_027",31,1,1,"Lichen",0.50,,,,,,,"D01CEG10","D01GMV31",
24,"HARV_027",31,1,1,"Moss",4.00,,,,,,,"D01CEG10","D01GMV31",
25,"HARV_027",31,1,1,"Overstory",80.00,,,,,,,"D01CEG10","D01GMV31",
26,"HARV_027",31,1,1,,,"IPHONE 8","1152",,,,,"D01CEG10","D01GMV31",
27,"HARV_027",31,1,1,,,,,"PAQU2",,7.00,22,"D01CEG10","D01GMV31",
28,"HARV_027",31,1,1,,,,,"RUPU",,4.00,15,"D01CEG10","D01GMV31",
29,"HARV_027",31,1,1,,,,,"ACRU",,1.00,10,"D01CEG10","D01GMV31",
30,"HARV_027",31,1,1,,,,,"MACA4",,3.00,5,"D01CEG10","D01GMV31",
31,"HARV_027",31,1,1,,,,,"BRER2",,0.50,30,"D01CEG10","D01GMV31",
32,"HARV_027",40,1,1,,,,,"FRAM2",,2.00,16,"D01LEL27","D01DRC25","QC: NO ERROR JH"
33,"HARV_027",40,1,1,,,,,"PAQU2",,1.00,23,"D01LEL27","D01DRC25",
34,"HARV_027",40,1,1,,,,,"RUHI",,2.00,16,"D01LEL27","D01DRC25",
35,"HARV_027",40,1,1,,,,,"PIST",,0.50,4,"D01LEL27","D01DRC25",
36,"HARV_027",40,1,1,,,,,"HYAM",,0.50,4,"D01LEL27","D01DRC25",
37,"HARV_027",40,1,1,,,,,"ILVE",,17.00,45,"D01LEL27","D01DRC25",
38,"HARV_027",40,1,1,,,,,"GAAS2","cf. subspecies",0.50,11,"D01LEL27","D01DRC25",
39,"HARV_027",40,1,1,,,,,"ARTR",,0.50,11,"D01LEL27","D01DRC25","QC: NO ERROR JH"
40,"HARV_027",40,1,1,,,,,"CAPA74",,0.50,22,"D01LEL27","D01DRC25","SPECIES ID'D AS ""TINY  HUMMOCK CAREX"""
41,"HARV_027",40,1,1,,,,,"TRBO2",,0.50,4,"D01LEL27","D01DRC25",
42,"HARV_027",40,1,1,,,,,"DRIN5",,1.00,41,"D01LEL27","D01DRC25",
43,"HARV_027",40,1,1,,,,,"BRER2",,1.00,43,"D01LEL27","D01DRC25",
44,"HARV_027",40,3,1,,,"OLY","0479",,,,,"D01LEL27","D01DRC25",
45,"HARV_027",40,3,1,"Soil",0.50,,,,,,,"D01LEL27","D01DRC25",
46,"HARV_027",40,3,1,"Rock",0.50,,,,,,,"D01LEL27","D01DRC25",
47,"HARV_027",40,3,1,"Wood",2.00,,,,,,,"D01LEL27","D01DRC25",
48,"HARV_027",40,3,1,"Litter",68.00,,,,,,,"D01LEL27","D01DRC25",
49,"HARV_027",40,3,1,"Lichen",0.50,,,,,,,"D01LEL27","D01DRC25",
50,"HARV_027",40,3,1,"Moss",30.00,,,,,,,"D01LEL27","D01DRC25",
51,"HARV_027",40,3,1,"Overstory",92.00,,,,,,,"D01LEL27","D01DRC25","QC: NO ERROR JH"
52,"HARV_027",40,3,1,,,,,"PIST",,2.00,25,"D01LEL27","D01DRC25",
53,"HARV_027",40,3,1,,,,,"RUPU",,7.00,22,"D01LEL27","D01DRC25",
54,"HARV_027",40,3,1,,,,,"COTR2",,22.00,9,"D01LEL27","D01DRC25",
55,"HARV_027",40,3,1,,,,,"ACRU",,1.00,13,"D01LEL27","D01DRC25",
56,"HARV_027",40,3,1,,,,,"TORA2",,3.00,26,"D01LEL27","D01DRC25",
57,"HARV_027",40,3,1,,,,,"PAQU2",,0.50,21,"D01LEL27","D01DRC25",
58,"HARV_027",40,3,1,,,,,"GEMA",,2.00,19,"D01LEL27","D01DRC25","QC: NO ERROR JH"
59,"HARV_027",40,3,1,,,,,"ARTR",,2.00,10,"D01LEL27","D01DRC25",
60,"HARV_027",40,3,1,,,,,"MIRE",,0.50,6,"D01LEL27","D01DRC25",
61,"HARV_027",40,3,1,,,,,"POSI2",,0.50,24,"D01LEL27","D01DRC25",
62,"HARV_010",31,4,1,"Rock",1.00,,,,,,,"D01KAK22","D01GMV31","QC: No error EME"
63,"HARV_010",31,4,1,"Wood",3.00,,,,,,,"D01KAK22","D01GMV31",
64,"HARV_010",31,4,1,"Litter",94.00,,,,,,,"D01KAK22","D01GMV31",
65,"HARV_010",31,4,1,"Lichen",0.50,,,,,,,"D01KAK22","D01GMV31",
66,"HARV_010",31,4,1,"Moss",2.00,,,,,,,"D01KAK22","D01GMV31",
67,"HARV_010",31,4,1,"Overstory",100.00,,,,,,,"D01KAK22","D01GMV31",
68,"HARV_010",31,4,1,,,,,"GABA",,7.00,27,"D01KAK22","D01GMV31","QC: No error EME"
69,"HARV_010",31,4,1,,,,,"ACRU",,0.50,13,"D01KAK22","D01GMV31",
70,"HARV_010",31,4,1,,,,,"VAPA4",,2.00,8,"D01KAK22","D01GMV31",
