"uid","plotID","completeDate","subplotID","nestedSubplotID","nestedSubplotArea","variablesOther","percentCoverOther","cameraID","photoID","taxonID","identificationQualifier","percentCoverPlantSpecies","meanHeightPlantSpecies","measuredBy","recordedBy","remarks"
2,"CPER_006",20140527,31,4,1,"Soil",35.00,,,,,,,"D10KJB24","D10DPB11",
3,"CPER_006",20140527,31,4,1,"Rock",0.00,,,,,,,"D10KJB24","D10DPB11",
4,"CPER_006",20140527,31,4,1,"Wood",0.50,,,,,,,"D10KJB24","D10DPB11","precent cover trace"
5,"CPER_006",20140527,31,4,1,"Litter",3.00,,,,,,,"D10KJB24","D10DPB11",
6,"CPER_006",20140527,31,4,1,"Standing Dead",12.00,,,,,,,"D10KJB24","D10DPB11",
7,"CPER_006",20140527,31,4,1,"Water",0.00,,,,,,,"D10KJB24","D10DPB11",
8,"CPER_006",20140527,31,4,1,"Lichen",0.50,,,,,,,"D10KJB24","D10DPB11","percent cover trace"
9,"CPER_006",20140527,31,4,1,"Moss",0.00,,,,,,,"D10KJB24","D10DPB11",
10,"CPER_006",20140527,31,4,1,"Other non-vascular",0.00,,,,,,,"D10KJB24","D10DPB11",
11,"CPER_006",20140527,31,4,1,"Scat",2.00,,,,,,,"D10KJB24","D10DPB11",
12,"CPER_006",20140527,31,4,1,"Overstory",0.00,,,,,,,"D10KJB24","D10DPB11",
13,"CPER_006",20140527,31,4,1,,,"CAN-D","3087",,,,,"D10KJB24","D10DPB11",
14,"CPER_006",20140527,31,4,1,,,,,"VUOC",,33.00,11,"D10KJB24","D10DPB11",
15,"CPER_006",20140527,31,4,1,,,,,"THFI",,5.00,12,"D10KJB24","D10DPB11",
16,"CPER_006",20140527,31,4,1,,,,,"OPPO",,4.00,7,"D10KJB24","D10DPB11",
17,"CPER_006",20140527,31,4,1,,,,,"CRMI5",,1.00,5,"D10KJB24","D10DPB11",
18,"CPER_006",20140527,31,4,1,,,,,"BOGR2",,2.00,10,"D10KJB24","D10DPB11",
19,"CPER_006",20140527,31,4,1,,,,,"ELEL5",,1.00,11,"D10KJB24","D10DPB11",
20,"CPER_006",20140527,31,4,1,,,,,"PLPA2",,0.50,4,"D10KJB24","D10DPB11","percent cover trace"
21,"CPER_006",20140527,31,4,1,,,,,"SPCO",,1.00,7,"D10KJB24","D10DPB11",
22,"CPER_006",20140527,31,4,1,,,,,"TROC",,0.50,10,"D10KJB24","D10DPB11","percent cover trace"
23,"CPER_006",20140527,31,4,1,,,,,"CADU6",,0.50,10,"D10KJB24","D10DPB11","percent cover trace"
24,"CPER_006",20140527,32,2,1,"Soil",60.00,,,,,,,"D10KJB24","D10DPB11",
25,"CPER_006",20140527,32,2,1,"Rock",0.00,,,,,,,"D10KJB24","D10DPB11",
26,"CPER_006",20140527,32,2,1,"Wood",0.50,,,,,,,"D10KJB24","D10DPB11","percent cover trace"
27,"CPER_006",20140527,32,2,1,"Litter",2.00,,,,,,,"D10KJB24","D10DPB11",
28,"CPER_006",20140527,32,2,1,"Standing Dead",4.00,,,,,,,"D10KJB24","D10DPB11",
29,"CPER_006",20140527,32,2,1,"Water",0.00,,,,,,,"D10KJB24","D10DPB11",
30,"CPER_006",20140527,32,2,1,"Lichen",1.00,,,,,,,"D10KJB24","D10DPB11",
31,"CPER_006",20140527,32,2,1,"Moss",0.00,,,,,,,"D10KJB24","D10DPB11",
32,"CPER_006",20140527,32,2,1,"Other non-vascular",0.00,,,,,,,"D10KJB24","D10DPB11",
33,"CPER_006",20140527,32,2,1,"Scat",0.50,,,,,,,"D10KJB24","D10DPB11","percent cover trace"
34,"CPER_006",20140527,32,2,1,"Overstory",0.00,,,,,,,"D10KJB24","D10DPB11",
35,"CPER_006",20140527,32,2,1,,,"CAN-D","3090",,,,,"D10KJB24","D10DPB11",
36,"CPER_006",20140527,32,2,1,,,,,"HECO26",,1.00,29,"D10KJB24","D10DPB11",
37,"CPER_006",20140527,32,2,1,,,,,"THFI",,17.00,10,"D10KJB24","D10DPB11",
38,"CPER_006",20140527,32,2,1,,,,,"BOGR2",,3.00,8,"D10KJB24","D10DPB11",
39,"CPER_006",20140527,32,2,1,,,,,"VUOC",,6.00,11,"D10KJB24","D10DPB11",
40,"CPER_006",20140527,32,2,1,,,,,"SPCO",,1.00,6,"D10KJB24","D10DPB11",
41,"CPER_006",20140527,32,2,1,,,,,"AngryUnderbelly",,0.50,7,"D10KJB24","D10DPB11","unk. Maybe latuca serriola? Percent cover trace"
42,"CPER_006",20140527,32,2,1,,,,,"OEAL",,5.00,7,"D10KJB24","D10DPB11",
43,"CPER_006",20140527,32,2,1,,,,,"CADU6","cf. species",0.50,11,"D10KJB24","D10DPB11","percent cover trace"
44,"CPER_006",20140527,32,2,1,,,,,"CRMI5",,0.50,5,"D10KJB24","D10DPB11","percent cover trace"
45,"CPER_006",20140527,32,2,1,,,,,"PLPA2",,0.50,6,"D10KJB24","D10DPB11","percent cover trace"
46,"CPER_006",20140527,32,4,1,"Soil",50.00,,,,,,,"D10KJB24","D10DPB11",
47,"CPER_006",20140527,32,4,1,"Rock",0.00,,,,,,,"D10KJB24","D10DPB11",
48,"CPER_006",20140527,32,4,1,"Wood",0.50,,,,,,,"D10KJB24","D10DPB11","percent cover trace"
49,"CPER_006",20140527,32,4,1,"Litter",1.00,,,,,,,"D10KJB24","D10DPB11",
50,"CPER_006",20140527,32,4,1,"Standing Dead",15.00,,,,,,,"D10KJB24","D10DPB11",
51,"CPER_006",20140527,32,4,1,"Water",0.00,,,,,,,"D10KJB24","D10DPB11",
52,"CPER_006",20140527,32,4,1,"Lichen",1.00,,,,,,,"D10KJB24","D10DPB11",
53,"CPER_006",20140527,32,4,1,"Moss",0.00,,,,,,,"D10KJB24","D10DPB11",
54,"CPER_006",20140527,32,4,1,"Other non-vascular",0.00,,,,,,,"D10KJB24","D10DPB11",
55,"CPER_006",20140527,32,4,1,"Scat",0.50,,,,,,,"D10KJB24","D10DPB11","percent cover trace"
56,"CPER_006",20140527,32,4,1,"Overstory",0.00,,,,,,,"D10KJB24","D10DPB11",
57,"CPER_006",20140527,32,4,1,,,"CAN-D","3091",,,,,"D10KJB24","D10DPB11",
58,"CPER_006",20140527,32,4,1,,,,,"VUOC",,28.00,11,"D10KJB24","D10DPB11",
59,"CPER_006",20140527,32,4,1,,,,,"THFI",,2.00,9,"D10KJB24","D10DPB11",
60,"CPER_006",20140527,32,4,1,,,,,"BOGR2",,2.00,7,"D10KJB24","D10DPB11",
61,"CPER_006",20140527,32,4,1,,,,,"SPCO",,1.00,5,"D10KJB24","D10DPB11",
62,"CPER_006",20140527,32,4,1,,,,,"CADU6","cf. species",0.50,11,"D10KJB24","D10DPB11","percent cover trace"
63,"CPER_006",20140528,40,1,1,"Soil",45.00,,,,,,,"D10KJB24","D10JEB28",
64,"CPER_006",20140528,40,1,1,"Rock",5.00,,,,,,,"D10KJB24","D10JEB28",
65,"CPER_006",20140528,40,1,1,"Wood",0.50,,,,,,,"D10KJB24","D10JEB28","percent cover trace"
66,"CPER_006",20140528,40,1,1,"Litter",9.00,,,,,,,"D10KJB24","D10JEB28",
67,"CPER_006",20140528,40,1,1,"Standing Dead",11.00,,,,,,,"D10KJB24","D10JEB28",
68,"CPER_006",20140528,40,1,1,"Water",0.00,,,,,,,"D10KJB24","D10JEB28",
69,"CPER_006",20140528,40,1,1,"Lichen",0.50,,,,,,,"D10KJB24","D10JEB28","percent cover trace"
70,"CPER_006",20140528,40,1,1,"Moss",0.00,,,,,,,"D10KJB24","D10JEB28",
71,"CPER_006",20140528,40,1,1,"Other non-vascular",0.00,,,,,,,"D10KJB24","D10JEB28",
72,"CPER_006",20140528,40,1,1,"Scat",0.00,,,,,,,"D10KJB24","D10JEB28",
73,"CPER_006",20140528,40,1,1,"Overstory",0.00,,,,,,,"D10KJB24","D10JEB28",
74,"CPER_006",20140528,40,1,1,,,"CAN-D","3092",,,,,"D10KJB24","D10JEB28",
75,"CPER_006",20140528,40,1,1,,,,,"THFI",,19.00,12,"D10KJB24","D10JEB28",
76,"CPER_006",20140528,40,1,1,,,,,"BOGR2",,4.00,9,"D10KJB24","D10JEB28",
77,"CPER_006",20140528,40,1,1,,,,,"OPPO",,5.00,8,"D10KJB24","D10JEB28",
78,"CPER_006",20140528,40,1,1,,,,,"CADU6","cf. species",0.50,13,"D10KJB24","D10JEB28","percent cover trace"
79,"CPER_006",20140528,40,1,1,,,,,"HECO26",,0.50,25,"D10KJB24","D10JEB28","percent cover trace"
80,"CPER_006",20140528,40,1,1,,,,,"SPCR",,0.50,9,"D10KJB24","D10JEB28","percent cover trace"
81,"CPER_006",20140528,40,1,1,,,,,"CRMI5",,0.50,6,"D10KJB24","D10JEB28","percent cover trace"
82,"CPER_006",20140528,40,1,1,,,,,"VUOC",,2.00,11,"D10KJB24","D10JEB28",
83,"CPER_006",20140528,40,1,1,,,,,"PLPA2",,0.50,3,"D10KJB24","D10JEB28","percent cover trace"
84,"CPER_006",20140528,40,1,1,,,,,"SPCO",,0.50,5,"D10KJB24","D10JEB28","percent cover trace"
85,"CPER_006",20140528,40,1,1,,,,,"OEAL",,0.50,6,"D10KJB24","D10JEB28","percent cover trace"
86,"CPER_006",20140528,40,1,1,,,,,"LEMO4",,0.50,10,"D10KJB24","D10JEB28","percent cover trace"
87,"CPER_006",20140528,40,3,1,"Soil",53.00,,,,,,,"D10KJB24","D10JEB28",
88,"CPER_006",20140528,40,3,1,"Rock",0.50,,,,,,,"D10KJB24","D10JEB28","percent cover trace"
89,"CPER_006",20140528,40,3,1,"Wood",0.50,,,,,,,"D10KJB24","D10JEB28","percent cover trace"
90,"CPER_006",20140528,40,3,1,"Litter",3.00,,,,,,,"D10KJB24","D10JEB28",
91,"CPER_006",20140528,40,3,1,"Standing Dead",2.00,,,,,,,"D10KJB24","D10JEB28",
92,"CPER_006",20140528,40,3,1,"Water",0.00,,,,,,,"D10KJB24","D10JEB28",
93,"CPER_006",20140528,40,3,1,"Lichen",0.50,,,,,,,"D10KJB24","D10JEB28","percent cover trace"
94,"CPER_006",20140528,40,3,1,"Moss",0.00,,,,,,,"D10KJB24","D10JEB28",
95,"CPER_006",20140528,40,3,1,"Other non-vascular",0.00,,,,,,,"D10KJB24","D10JEB28",
96,"CPER_006",20140528,40,3,1,"Scat",2.00,,,,,,,"D10KJB24","D10JEB28",
97,"CPER_006",20140528,40,3,1,"Overstory",0.00,,,,,,,"D10KJB24","D10JEB28",
98,"CPER_006",20140528,40,3,1,,,"CAN-D","3094",,,,,"D10KJB24","D10JEB28",
99,"CPER_006",20140528,40,3,1,,,,,"THFI",,25.00,16,"D10KJB24","D10JEB28",
