uid,plotID,subplotID,nestedSubplotID,nestedSubplotArea,variablesOther,percentCoverOther,cameraID,photoID,taxonID,identificationQualifier,percentCoverPlantSpecies,meanHeightPlantSpecies,measuredBy,recordedBy,remarks
2,ONAQ_019,32,4,1,Soil,18,1,ONAQ_019_PlantDiversity_sub32_nestedsub4_20140604,,,,,D15WDS27,D15RAS17,
3,ONAQ_019,32,4,1,Rock,3,1,ONAQ_019_PlantDiversity_sub32_nestedsub4_20140604,,,,,D15WDS27,D15RAS17,
4,ONAQ_019,32,4,1,Wood,1,1,ONAQ_019_PlantDiversity_sub32_nestedsub4_20140604,,,,,D15WDS27,D15RAS17,
5,ONAQ_019,32,4,1,Litter,3,1,ONAQ_019_PlantDiversity_sub32_nestedsub4_20140604,,,,,D15WDS27,D15RAS17,
6,ONAQ_019,32,4,1,Standing Dead,1,1,ONAQ_019_PlantDiversity_sub32_nestedsub4_20140604,,,,,D15WDS27,D15RAS17,
7,ONAQ_019,32,4,1,Lichen,0.5,1,ONAQ_019_PlantDiversity_sub32_nestedsub4_20140604,,,,,D15WDS27,D15RAS17,
8,ONAQ_019,32,4,1,Moss,3,1,ONAQ_019_PlantDiversity_sub32_nestedsub4_20140604,,,,,D15WDS27,D15RAS17,
9,ONAQ_019,32,4,1,,,1,ONAQ_019_PlantDiversity_sub32_nestedsub4_20140604,ARTR2,,42,52,D15WDS27,D15RAS17,
10,ONAQ_019,32,4,1,,,1,ONAQ_019_PlantDiversity_sub32_nestedsub4_20140604,ELEL5,,1,16,D15WDS27,D15RAS17,
11,ONAQ_019,32,4,1,,,1,ONAQ_019_PlantDiversity_sub32_nestedsub4_20140604,ATCO,,2,29,D15WDS27,D15RAS17,
12,ONAQ_019,32,4,1,,,1,ONAQ_019_PlantDiversity_sub32_nestedsub4_20140604,POSE,,1,24,D15WDS27,D15RAS17,
13,ONAQ_019,32,2,1,Soil,85,1,ONAQ_019_PlantDiversity_sub32_nestedsub2_20140604,,,,,,,
14,ONAQ_019,32,2,1,Rock,12,1,ONAQ_019_PlantDiversity_sub32_nestedsub2_20140604,,,,,,,
15,ONAQ_019,32,2,1,Wood,1,1,ONAQ_019_PlantDiversity_sub32_nestedsub2_20140604,,,,,,,
16,ONAQ_019,32,2,1,Litter,0.5,1,ONAQ_019_PlantDiversity_sub32_nestedsub2_20140604,,,,,,,
17,ONAQ_019,32,2,1,Lichen,0.5,1,ONAQ_019_PlantDiversity_sub32_nestedsub2_20140604,,,,,,,
18,ONAQ_019,32,2,1,Moss,0.5,1,ONAQ_019_PlantDiversity_sub32_nestedsub2_20140604,,,,,,,
19,ONAQ_019,32,2,1,,,1,ONAQ_019_PlantDiversity_sub32_nestedsub2_20140604,PHHO,,1,,,,
20,ONAQ_019,32,2,1,,,1,ONAQ_019_PlantDiversity_sub32_nestedsub2_20140604,BRTE,,0.5,,,,
21,ONAQ_019,32,2,1,,,1,ONAQ_019_PlantDiversity_sub32_nestedsub2_20140604,CHDO,,0.5,,,,
22,ONAQ_019,40,1,1,Soil,25,1,ONAQ_019_PlantDiversity_sub40_nestedsub1_20140604,,,,,D15RAS17,D15WDS27,
23,ONAQ_019,40,1,1,Rock,1,1,ONAQ_019_PlantDiversity_sub40_nestedsub1_20140604,,,,,D15RAS17,D15WDS27,
24,ONAQ_019,40,1,1,Wood,4,1,ONAQ_019_PlantDiversity_sub40_nestedsub1_20140604,,,,,D15RAS17,D15WDS27,
25,ONAQ_019,40,1,1,Litter,2,1,ONAQ_019_PlantDiversity_sub40_nestedsub1_20140604,,,,,D15RAS17,D15WDS27,
26,ONAQ_019,40,1,1,Standing Dead,0.5,1,ONAQ_019_PlantDiversity_sub40_nestedsub1_20140604,,,,,D15RAS17,D15WDS27,
27,ONAQ_019,40,1,1,Lichen,1,1,ONAQ_019_PlantDiversity_sub40_nestedsub1_20140604,,,,,D15RAS17,D15WDS27,
28,ONAQ_019,40,1,1,Moss,13,1,ONAQ_019_PlantDiversity_sub40_nestedsub1_20140604,,,,,D15RAS17,D15WDS27,
29,ONAQ_019,40,1,1,,,1,ONAQ_019_PlantDiversity_sub40_nestedsub1_20140604,ARTR2,,21,68,D15RAS17,D15WDS27,
30,ONAQ_019,40,1,1,,,1,ONAQ_019_PlantDiversity_sub40_nestedsub1_20140604,GUTIE,cf. genus,4,32,D15RAS17,D15WDS27,
31,ONAQ_019,40,1,1,,,1,ONAQ_019_PlantDiversity_sub40_nestedsub1_20140604,POSE,,3,21,D15RAS17,D15WDS27,
32,ONAQ_019,40,1,1,,,1,ONAQ_019_PlantDiversity_sub40_nestedsub1_20140604,CETE5,,0.5,2,D15RAS17,D15WDS27,
