"","site_id","lat","long","elevation","depth","sampling_date","soil_series","veg_class"
"1","D01HARV",42.53562,-72.17562,373,160,"2012-7-19","Henniker taxadjunct","deciduous forest"
"2","D09WOOD",47.12833,-99.23907,588,190,"2012-9-18","Manning","grassland/herbaceous"
"3","D09DCFS",47.15919,-99.11251,571,200,"2012-9-26","Max","grassland/herbaceous"
"4","D3JERC",31.19608,-84.46647,46,203,"2012-12-10","Lucy","mixed forest"
"5","D01BART",44.06516,-71.2883,284,195,"2013-8-20","Sunapee","mixed forest"
"6","D02BLAN",39.06044,-78.0712,373,155,"2012-1-15","Poplimento","cultivated crops"
"7","D02SCBI",38.9209,-78.1376,410,195,"2013-5-13","Lew","deciduous forest"
"8","D02SERC",38.89124,76.55884,27,200,"2014-5-6","Adelphia","deciduous forest"
"9","D03DSNY",28.12919,-81.4339,25,195,"2013-5-2","Smyrna","grassland/herbaceous"
"10","D04MAME",18.0119,-66.3649,47,180,"2014-10-29",NA,"evergreen forest"
"11","D04LAJA",18.02184,-67.0761,40,195,"2014-4-8","Cartagena","cultivated crops"
"12","D05UNDE",46.14103,-89.3221,533,175,"2013-9-10","Tula","evergreen forest"
"13","D06UKFS",39.0225,-95.1921,46,NA,"2014-7-22",NA,"deciduous forest"
"14","D07MLBS",35.57525,-84.1658,1177,195,"2013-12-3","","deciduous forest"
"15","D07ORNL",35.54092,-84.1658,366,175,"2013-9-23","Fullerton","deciduous forest"
"16","D06KONZ",39.0637,-96.563,323,NA,"2014-6-24",NA,"cultivated crops"
"17","D08DELA",32.54092,-87.8034,18,195,"2013-6-3","Angie","deciduous forest"
"18","D08TALL",32.95106,-87.3941,154,200,"2013-1-14","Smithdale","deciduous forest"
"19","D09NOPG",46.76846,-100.918,588,195,"2013-6-3","Max","barren"
"20","D10STER",40.45984,-103.03,1369,195,"2014-4-11","Goshen","cultivated crops"
"21","D10RMNP",40.27771,-105.545,1927,NA,"2013-5-31",NA,"evergreen forest"
"22","D11OAES",35.4106,-99.0604,515,46,"2013-2-20","Cordell","cultivated crops"
"23","D13MOAB",38.25136,109.3888,1805,200,"2014-2-24","Mivida","barren"
"24","D14SRER",31.91068,-110.835,996,195,"2013-11-4",NA,"barren"
"25","D14JORN",32.59052,-106.844,1327,195,"2013-3-6","Nations","barren"
"26","D15ONAQ",40.1039,-112.271,1688,NA,"2014-6-3",NA,"barren"
"27","D10CASTNET",40.27707,-105.545,2758,195,"2013-5-31",NA,"evergreen forest"
"28","D03OSBS",29.68819,-81.99345,159,200,"2012-6-21","Astatula","shrub/scrub"
"29","D10CPER",40.81297,-104.74455,1548,210,"2012-8-14","Ascalon","grassland/herbaceous"
"30","D02BLAN",39.06044,-78.07115,177,195,"2012-1-15","Poplimento","cultivated crops"
