"FID_","site_id","lat_dec_de","long_dec_d","RASTERVALU"
,"D01BART",44.065160,-71.288340,100.244506
,"D01HARV",42.535620,-72.175620,95.665069
,"D02BLAN",39.060440,-78.071150,80.892494
,"D02SCBI",38.892090,-78.137640,85.348770
,"D03DSNY",28.129190,-81.433940,100.284736
,"D03JERC",31.196080,-84.466470,111.207069
,"D03OSBS",29.688190,-81.993450,109.628532
,"D05UNDERC",46.141030,-89.322100,68.804374
,"D07ORNL",35.575250,-84.165810,114.845909
,"D08DELA",32.540920,-87.803410,115.492897
,"D09DCFS",47.159190,-99.112510,37.008201
,"D09NGPRL",46.768460,-100.918320,35.203853
,"D09WOOD",47.128330,-99.239070,35.833332
,"D10 STER",40.459840,-103.030080,35.919406
,"D10CASTNET",40.277707,-105.545240,44.500282
,"D10CPER",40.812970,-104.744550,30.500000
,"D11OAES",34.410620,-99.060440,55.739761
,"D14JORN",32.590520,-106.843770,21.372459
