"FID_","site_id","lat_dec_de","long_dec_d","RASTERVALU"
,"D01BART",44.065160,-71.288340,99.583335
,"D01HARV",42.535620,-72.175620,95.916664
,"D02BLAN",39.060440,-78.071150,80.916664
,"D02SCBI",38.892090,-78.137640,85.333335
,"D03DSNY",28.129190,-81.433940,100.250000
,"D03JERC",31.196080,-84.466470,111.333335
,"D03OSBS",29.688190,-81.993450,109.833335
,"D05UNDERC",46.141030,-89.322100,68.833335
,"D07ORNL",35.575250,-84.165810,114.750000
,"D08DELA",32.540920,-87.803410,115.500000
,"D09DCFS",47.159190,-99.112510,37.000000
,"D09NGPRL",46.768460,-100.918320,35.250000
,"D09WOOD",47.128330,-99.239070,35.833332
,"D10 STER",40.459840,-103.030080,35.916667
,"D10CASTNET",40.277707,-105.545240,44.333332
,"D10CPER",40.812970,-104.744550,30.500000
,"D11OAES",34.410620,-99.060440,55.750000
,"D14JORN",32.590520,-106.843770,21.333333
