site_id,horizon,profile,upper_depth,lower_depth,orientation,sample_area,sample_volume,fine_root_mass_g,fine_root_mass,coarse_root_mass_g,coarse_root_mass,fine_dead_root_mass_g,fine_dead_root_mass,coarse_dead_root_mass_g,coarse_dead_root_mass,method_id,notes,mg_cm_3,cum_mg_cm_3,cum_g,cum_vol,g_m_2,percent_of_total,root_prop,cum_percent_of_total,root_prop_of_total,total_biomass,depth,location,NLCD_class,beta
D01BART,Oe/A/E/BS1,1,0,10,N_A,100,1000,12.7234,12723.4,4.0838,4083.8,0.0992,99.2,0,0,SK,,12.7234,12.7234,16.9064,0.01,1.69064,73.78258179,0.737825818,73.7825818,0.737825818,17.24444942,5,Primary,Deciduous Forest,0.8966092
D01BART,Bs1/Bs2,1,10,20,N_A,100,1000,2.187,2187,4.4225,4422.5,0.3463,346.3,0.6145,614.5,SK,,2.187,14.9104,24.4767,0.01,2.44767,12.6823417,0.126823417,86.46492351,0.864649235,17.24444942,15,Primary,Deciduous Forest,0.8966092
D01BART,Bs2/Bw,1,20,30,N_A,100,1000,1.1843,1184.3,0,0,0.1321,132.1,0,0,SK,,1.1843,16.0947,25.7931,0.01,2.57931,6.867717091,0.068677171,93.3326406,0.933326406,17.24444942,25,Primary,Deciduous Forest,0.8966092
D01BART,Bw,1,30,40,N_A,90,900,0.1672,167.2,0,0,0.1393,139.3,0,0,SK,,0.185777778,16.28047778,26.0996,0.01,2.60996,1.077319277,0.010773193,94.40995987,0.944099599,17.24444942,35,Primary,Deciduous Forest,0.8966092
D01BART,BC,1,40,50,N_A,100,1000,0.1702,170.2,0,0,0.2275,227.5,0,0,SK,,0.1702,16.45067778,26.4973,0.01,2.64973,0.986984251,0.009869843,95.39694413,0.953969441,17.24444942,45,Primary,Deciduous Forest,0.8966092
D01BART,BC,1,50,60,N_A,100,1000,0.0579,57.9,0,0,0.0375,37.5,0,0,SK,,0.0579,16.50857778,26.5927,0.01,2.65927,0.335760212,0.003357602,95.73270434,0.957327043,17.24444942,55,Primary,Deciduous Forest,0.8966092
D01BART,BC,1,60,70,N_A,110,1320,0.1131,113.1,0.1313,131.3,0.0758,75.8,0,0,SK,,0.085681818,16.5942596,26.9129,0.01,2.69129,0.49686607,0.004968661,96.22957041,0.962295704,17.24444942,65,Primary,Deciduous Forest,0.8966092
D01BART,C1,1,70,80,N_A,100,1000,0.4853,485.3,0,0,0.2719,271.9,0.0613,61.3,SK,,0.4853,17.0795596,27.7314,0.01,2.77314,2.814238879,0.028142389,99.04380929,0.990438093,17.24444942,75,Primary,Deciduous Forest,0.8966092
D01BART,C1,1,80,90,N_A,105,1102.5,0.1659,165.9,0,0,0.1184,118.4,0,0,SK,,0.15047619,17.23003579,28.0157,0.01,2.80157,0.872606523,0.008726065,99.91641581,0.999164158,17.24444942,85,Primary,Deciduous Forest,0.8966092
D01BART,C1,1,90,100,N_A,100,1000,0.005,5,0,0,0.0115,11.5,0,0,SK,,0.005,17.23503579,28.0322,0.01,2.80322,0.028994837,0.000289948,99.94541064,0.999454106,17.24444942,95,Primary,Deciduous Forest,0.8966092
D01BART,C1,1,100,120,long axis parallel ,110,2200,0.0087,8.7,0,0,0.032,32,0,0,SK,,0.003954545,17.23899033,28.0729,0.01,2.80729,0.02293228,0.000229323,99.96834292,0.999683429,17.24444942,110,Primary,Deciduous Forest,0.8966092
D01BART,C1,1,120,140,long axis parallel ,110,2200,0.0119,11.9,0,0,0.0031,3.1,0,0,SK,,0.005409091,17.24439942,28.0879,0.01,2.80879,0.031367142,0.000313671,99.99971006,0.999997101,17.24444942,130,Primary,Deciduous Forest,0.8966092
D01BART,C2,1,140,160,long axis parallel ,100,2000,0.0001,0.1,0,0,0.0003,0.3,0,0,SK,,0.00005,17.24444942,28.0883,0.01,2.80883,0.000289948,2.90E-06,100,1,17.24444942,150,Primary,Deciduous Forest,0.8966092
D01BART,Oe/A/E/BS1,2,0,10,N_A,100,1000,3.4264,3426.4,5.1916,5191.6,0.5377,537.7,0.6229,622.9,SK,,3.4264,3.4264,9.7786,0.01,0.97786,31.97920631,0.319792063,31.9792063,0.319792063,10.71446229,5,Primary,Deciduous Forest,0.8966092
D01BART,Bs1/Bs2,2,10,20,N_A,100,1000,2.8316,2831.6,3.6291,3629.1,0.4948,494.8,0.2924,292.4,SK,very large rock that spread far and prevented horizontal shift of sample,2.8316,6.258,17.0265,0.01,1.70265,26.42783113,0.264278311,58.40703743,0.584070374,10.71446229,15,Primary,Deciduous Forest,0.8966092
D01BART,Bs2/Bw,2,20,30,N_A,45,450,1.2115,1211.5,3.2772,3277.2,0.1992,199.2,0.1119,111.9,SK,,2.692222222,8.950222222,21.8263,0.01,2.18263,25.1269933,0.251269933,83.53403073,0.835340307,10.71446229,25,Primary,Deciduous Forest,0.8966092
D01BART,Bw,2,30,40,N_A,100,1000,1.0615,1061.5,0,0,0.2939,293.9,0.0723,72.3,SK,translocated to the right to avoid very large rock,1.0615,10.01172222,23.254,0.01,2.3254,9.907170059,0.099071701,93.44120079,0.934412008,10.71446229,35,Primary,Deciduous Forest,0.8966092
D01BART,BC,2,40,50,N_A,120,1200,0.1783,178.3,0,0,0.1004,100.4,0,0,SK,,0.148583333,10.16030556,23.5327,0.01,2.35327,1.386754924,0.013867549,94.82795571,0.948279557,10.71446229,45,Primary,Deciduous Forest,0.8966092
D01BART,BC,2,50,60,N_A,140,1540,0.2009,200.9,0,0,0.1176,117.6,0,0,SK,,0.130454545,10.2907601,23.8512,0.01,2.38512,1.217555692,0.012175557,96.0455114,0.960455114,10.71446229,55,Primary,Deciduous Forest,0.8966092
D01BART,BC,2,60,70,N_A,140,1400,0.1311,131.1,0,0,0.1738,173.8,0,0,SK,,0.093642857,10.38440296,24.1561,0.01,2.41561,0.873985596,0.008739856,96.91949699,0.96919497,10.71446229,65,Primary,Deciduous Forest,0.8966092
D01BART,C1,2,70,80,N_A,100,1000,0.1532,153.2,0,0,0.0765,76.5,0,0,SK,,0.1532,10.53760296,24.3858,0.01,2.43858,1.429843102,0.014298431,98.3493401,0.983493401,10.71446229,75,Primary,Deciduous Forest,0.8966092
D01BART,C1,2,80,90,N_A,99,940.5,0.0075,7.5,0,0,0.0102,10.2,0,0,SK,,0.007974482,10.54557744,24.4035,0.01,2.44035,0.074427269,0.000744273,98.42376737,0.984237674,10.71446229,85,Primary,Deciduous Forest,0.8966092
D01BART,C1,2,90,100,N_A,120,1080,0.1773,177.3,0,0,0.2377,237.7,0,0,SK,small amount from face adjacent to sample fell in to sample collection,0.164166667,10.70974411,24.8185,0.01,2.48185,1.532196971,0.01532197,99.95596434,0.999559643,10.71446229,95,Primary,Deciduous Forest,0.8966092
D01BART,C1,2,100,120,long axis parallel ,100,2000,0.0085,8.5,0,0,0.0082,8.2,0,0,SK,,0.00425,10.71399411,24.8352,0.01,2.48352,0.039666013,0.00039666,99.99563035,0.999956304,10.71446229,110,Primary,Deciduous Forest,0.8966092
D01BART,C1,2,120,140,long axis parallel ,100,2200,0.0007,0.7,0,0,0.0021,2.1,0,0,SK,,0.000318182,10.71431229,24.838,0.01,2.4838,0.002969648,2.97E-05,99.9986,0.999986,10.71446229,130,Primary,Deciduous Forest,0.8966092
D01BART,C2,2,140,160,long axis parallel ,100,2000,0.0003,0.3,0,0,0,0,0,0,SK,,0.00015,10.71446229,24.8383,0.01,2.48383,0.001399977,1.40E-05,99.99999998,1,10.71446229,150,Primary,Deciduous Forest,0.8966092
D01BART,Oe/A/E/BS1,3,0,10,N_A,90,990,4.855,4855,0.7927,792.7,0.6207,620.7,0.3299,329.9,SK,,4.904040404,4.904040404,6.5983,0.01,0.65983,52.10265504,0.52102655,52.10265504,0.52102655,9.412265844,5,Primary,Deciduous Forest,0.8966092
